id,station,date,prcp,tobs
1,USC00519397,2010-01-01,0.08,65.0
2,USC00519397,2010-01-02,0.0,63.0
3,USC00519397,2010-01-03,0.0,74.0
4,USC00519397,2010-01-04,0.0,76.0
5,USC00519397,2010-01-06,,73.0
6,USC00519397,2010-01-07,0.06,70.0
7,USC00519397,2010-01-08,0.0,64.0
8,USC00519397,2010-01-09,0.0,68.0
9,USC00519397,2010-01-10,0.0,73.0
10,USC00519397,2010-01-11,0.01,64.0
11,USC00519397,2010-01-12,0.0,61.0
12,USC00519397,2010-01-14,0.0,66.0
13,USC00519397,2010-01-15,0.0,65.0
14,USC00519397,2010-01-16,0.0,68.0
15,USC00519397,2010-01-17,0.0,64.0
16,USC00519397,2010-01-18,0.0,72.0
17,USC00519397,2010-01-19,0.0,66.0
18,USC00519397,2010-01-20,0.0,66.0
19,USC00519397,2010-01-21,0.0,69.0
20,USC00519397,2010-01-22,0.0,67.0
21,USC00519397,2010-01-23,0.0,67.0
22,USC00519397,2010-01-24,0.01,71.0
23,USC00519397,2010-01-25,0.0,67.0
24,USC00519397,2010-01-26,0.04,76.0
25,USC00519397,2010-01-27,0.12,68.0
26,USC00519397,2010-01-28,0.0,72.0
27,USC00519397,2010-01-30,,70.0
28,USC00519397,2010-01-31,0.03,67.0
29,USC00519397,2010-02-01,0.01,66.0
30,USC00519397,2010-02-03,,67.0
31,USC00519397,2010-02-04,0.01,69.0
32,USC00519397,2010-02-05,0.0,67.0
33,USC00519397,2010-02-06,0.0,67.0
34,USC00519397,2010-02-07,0.0,64.0
35,USC00519397,2010-02-08,0.0,69.0
36,USC00519397,2010-02-09,0.0,73.0
37,USC00519397,2010-02-11,0.0,73.0
38,USC00519397,2010-02-12,0.02,69.0
39,USC00519397,2010-02-13,0.01,69.0
40,USC00519397,2010-02-14,0.0,69.0
41,USC00519397,2010-02-15,0.0,71.0
42,USC00519397,2010-02-16,0.0,61.0
43,USC00519397,2010-02-17,0.0,69.0
44,USC00519397,2010-02-19,,63.0
45,USC00519397,2010-02-20,0.03,64.0
46,USC00519397,2010-02-21,0.0,65.0
47,USC00519397,2010-02-22,0.0,67.0
48,USC00519397,2010-02-23,0.0,68.0
49,USC00519397,2010-02-24,0.0,65.0
50,USC00519397,2010-02-25,0.0,76.0
51,USC00519397,2010-02-26,0.0,75.0
52,USC00519397,2010-02-28,0.0,66.0
53,USC00519397,2010-03-01,0.01,70.0
54,USC00519397,2010-03-02,0.0,72.0
55,USC00519397,2010-03-03,0.0,73.0
56,USC00519397,2010-03-04,0.12,70.0
57,USC00519397,2010-03-05,0.08,71.0
58,USC00519397,2010-03-06,0.03,72.0
59,USC00519397,2010-03-07,0.0,72.0
60,USC00519397,2010-03-08,0.43,69.0
61,USC00519397,2010-03-09,0.06,70.0
62,USC00519397,2010-03-11,,73.0
63,USC00519397,2010-03-12,0.0,72.0
64,USC00519397,2010-03-13,0.0,73.0
65,USC00519397,2010-03-14,0.0,70.0
66,USC00519397,2010-03-15,0.06,71.0
67,USC00519397,2010-03-17,0.0,68.0
68,USC00519397,2010-03-18,0.0,70.0
69,USC00519397,2010-03-21,0.0,72.0
70,USC00519397,2010-03-22,0.0,69.0
71,USC00519397,2010-03-23,0.0,68.0
72,USC00519397,2010-03-24,0.0,74.0
73,USC00519397,2010-03-26,,72.0
74,USC00519397,2010-03-27,0.0,72.0
75,USC00519397,2010-03-28,0.0,73.0
76,USC00519397,2010-03-29,0.0,74.0
77,USC00519397,2010-03-30,0.0,73.0
78,USC00519397,2010-03-31,0.0,73.0
79,USC00519397,2010-04-01,0.0,74.0
80,USC00519397,2010-04-02,0.01,74.0
81,USC00519397,2010-04-03,0.17,74.0
82,USC00519397,2010-04-04,0.15,71.0
83,USC00519397,2010-04-05,0.27,72.0
84,USC00519397,2010-04-06,0.01,75.0
85,USC00519397,2010-04-08,0.0,75.0
86,USC00519397,2010-04-09,0.01,75.0
87,USC00519397,2010-04-10,0.0,75.0
88,USC00519397,2010-04-11,0.01,73.0
89,USC00519397,2010-04-12,0.01,73.0
90,USC00519397,2010-04-13,0.0,71.0
91,USC00519397,2010-04-15,0.0,71.0
92,USC00519397,2010-04-16,0.01,68.0
93,USC00519397,2010-04-17,0.0,70.0
94,USC00519397,2010-04-18,0.0,71.0
95,USC00519397,2010-04-19,0.0,74.0
96,USC00519397,2010-04-20,0.04,71.0
97,USC00519397,2010-04-21,0.01,75.0
98,USC00519397,2010-04-22,0.0,76.0
99,USC00519397,2010-04-23,0.02,75.0
100,USC00519397,2010-04-24,0.0,75.0
101,USC00519397,2010-04-25,0.0,76.0
102,USC00519397,2010-04-26,0.0,76.0
103,USC00519397,2010-04-28,0.0,76.0
104,USC00519397,2010-04-30,0.0,77.0
105,USC00519397,2010-05-01,0.0,77.0
106,USC00519397,2010-05-02,0.03,73.0
107,USC00519397,2010-05-03,0.2,74.0
108,USC00519397,2010-05-04,0.08,76.0
109,USC00519397,2010-05-05,0.01,76.0
110,USC00519397,2010-05-06,0.0,80.0
111,USC00519397,2010-05-07,0.05,74.0
112,USC00519397,2010-05-08,0.0,77.0
113,USC00519397,2010-05-09,0.0,77.0
114,USC00519397,2010-05-10,0.0,76.0
115,USC00519397,2010-05-11,0.0,77.0
116,USC00519397,2010-05-13,0.0,78.0
117,USC00519397,2010-05-14,0.0,78.0
118,USC00519397,2010-05-15,0.0,75.0
119,USC00519397,2010-05-16,0.03,73.0
120,USC00519397,2010-05-17,0.0,77.0
121,USC00519397,2010-05-18,0.0,76.0
122,USC00519397,2010-05-19,0.0,77.0
123,USC00519397,2010-05-21,,77.0
124,USC00519397,2010-05-22,0.0,78.0
125,USC00519397,2010-05-23,0.05,75.0
126,USC00519397,2010-05-24,0.0,77.0
127,USC00519397,2010-05-25,0.0,77.0
128,USC00519397,2010-05-26,0.02,77.0
129,USC00519397,2010-05-27,0.0,76.0
130,USC00519397,2010-05-28,0.0,75.0
